Drug_Reference_ID,NDC,Drug_Name,Generic_Name,Brand_Name,Strength,Strength_Unit,Dosage_Form,Route,Manufacturer,Drug_Class,Active_Flag,Effective_Date,End_Date,Source_System
DRG00161,62840208185,Crestor,Rosuvastatin,Crestor,500,mg/mL,Suspension,Inhalation,Summit Therapeutics,Antibiotic,Y,2022-06-23,,DrugReferenceHub
DRG00162,85864453239,Lexapro,Escitalopram,Lexapro,50,mcg,Inhaler,Inhalation,Evergreen Labs,Anticoagulant,Y,2025-07-25,,DrugReferenceHub
DRG00163,38299381624,Singulair,Montelukast,Singulair,250,mg/mL,Tablet,Intravenous,Northstar Pharma,Endocrine,Y,2022-08-23,,DrugReferenceHub
DRG00164,83483861176,Cymbalta,Duloxetine,Cymbalta,5,mg/mL,Inhaler,Inhalation,Pioneer Medical,Anticoagulant,N,2023-04-05,2024-10-31,DrugReferenceHub
DRG00165,57300408459,Plavix,Clopidogrel,Plavix,25,mg/mL,Suspension,Oral,Atlas Medications,Respiratory,N,2022-07-07,2023-06-10,DrugReferenceHub
DRG00166,93139577848,Protonix,Pantoprazole,Protonix,500,mg,Patch,Oral,Beacon Life Sciences,Antidepressant,Y,2023-08-11,,DrugReferenceHub
DRG00167,14420419723,Microzide,Hydrochlorothiazide,Microzide,20,mg,Cream,Intravenous,Pioneer Medical,Antihypertensive,Y,2024-12-31,,DrugReferenceHub
DRG00168,59049568585,Eliquis,Apixaban,Eliquis,5,units/mL,Suspension,Intravenous,Evergreen Labs,Lipid Lowering,Y,2023-01-27,,DrugReferenceHub
DRG00169,22313207361,Jardiance,Empagliflozin,Jardiance,20,mcg,Solution,Oral,Meridian Pharma,Antibiotic,Y,2025-04-17,,DrugReferenceHub
DRG00170,69323752585,Januvia,Sitagliptin,Januvia,500,units/mL,Cream,Inhalation,Summit Therapeutics,Neurologic,Y,2024-06-05,,DrugReferenceHub
DRG00171,53358319960,Lantus,Insulin Glargine,Lantus,250,mg,Patch,Intravenous,Evergreen Labs,Anticoagulant,N,2024-07-08,2026-01-02,DrugReferenceHub
DRG00172,15420255680,Humalog,Insulin Lispro,Humalog,1000,mcg,Suspension,Transdermal,BlueRiver Pharmaceuticals,Neurologic,Y,2025-10-04,,DrugReferenceHub
DRG00173,17278457796,Prozac,Fluoxetine,Prozac,50,units/mL,Solution,Topical,BlueRiver Pharmaceuticals,Antidiabetic,Y,2023-09-24,,DrugReferenceHub
DRG00174,15134521550,Wellbutrin,Bupropion,Wellbutrin,10,units/mL,Solution,Inhalation,Atlas Medications,Antibiotic,Y,2023-05-19,,DrugReferenceHub
DRG00175,49954258793,Coreg,Carvedilol,Coreg,5,units/mL,Injection,Subcutaneous,Beacon Life Sciences,Neurologic,Y,2025-12-25,,DrugReferenceHub
DRG00176,92945796828,Lopressor,Metoprolol,Lopressor,40,mg,Injection,Topical,Atlas Medications,Antihypertensive,Y,2024-03-25,,DrugReferenceHub
DRG00177,29337582731,Lasix,Furosemide,Lasix,20,units/mL,Capsule,Intravenous,Redwood Pharma,Neurologic,N,2024-06-17,2025-04-12,DrugReferenceHub
DRG00178,68129441146,Aldactone,Spironolactone,Aldactone,1000,units/mL,Injection,Transdermal,BEACON LIFE SCIENCES,Antidepressant,Y,2023-03-10,,DrugReferenceHub
DRG00179,79539911319,Ventolin,Albuterol,Ventolin,50,mg/mL,Patch,Transdermal,Summit Therapeutics,Anticoagulant,Y,2022-11-11,,DrugReferenceHub
DRG00180,39556565835,Vibramycin,Doxycycline,Vibramycin,50,mg,Injection,Intravenous,Atlas Medications,Respiratory,Y,2022-09-06,,DrugReferenceHub
DRG00181,76744433751,Ozempic,Semaglutide,Ozempic,1000,mcg,Tablet,Inhalation,Meridian Pharma,Neurologic,Y,2022-11-23,,DrugReferenceHub
DRG00182,66678730118,Glucophage,Metformin,Glucophage,100,mg,Inhaler,Inhalation,BlueRiver Pharmaceuticals,Lipid Lowering,Y,2022-10-13,,DrugReferenceHub
DRG00183,55068365571,Lipitor,Atorvastatin,Lipitor,100,units/mL,CAPSULE,Subcutaneous,Evergreen Labs,Antihypertensive,Y,2024-12-27,,DrugReferenceHub
DRG00184,60441392789,Prinivil,Lisinopril,Prinivil,250,units/mL,Cream,Topical,Redwood Pharma,Lipid Lowering,N,2022-03-26,2024-02-11,DrugReferenceHub
DRG00185,96691540687,Norvasc,Amlodipine,Norvasc,20,units/mL,Injection,Topical,Evergreen Labs,Antibiotic,N,2024-07-09,2026-04-17,DrugReferenceHub
DRG00186,87787823612,Cozaar,Losartan,Cozaar,250,mg,Tablet,Inhalation,Meridian Pharma,Antidiabetic,N,2025-10-19,2027-09-18,DrugReferenceHub
DRG00187,52398869460,Prilosec,Omeprazole,Prilosec,10,units/mL,Solution,Subcutaneous,Evergreen Labs,Antibiotic,Y,2025-01-24,,DrugReferenceHub
DRG00188,78528685790,Neurontin,Gabapentin,Neurontin,40,mg,Patch,Transdermal,Evergreen Labs,Anticoagulant,Y,2023-08-13,,DrugReferenceHub
DRG00189,98921439381,Synthroid,Levothyroxine,Synthroid,50,mg,Tablet,Topical,Evergreen Labs,Neurologic,Y,2022-03-28,,DrugReferenceHub
DRG00190,19352931491,Zoloft,Sertraline,Zoloft,25,mg/mL,Patch,Intravenous,Atlas Medications,Antihypertensive,Y,2025-05-04,,DrugReferenceHub
DRG00191,85922868666,Crestor,Rosuvastatin,Crestor,50,units/mL,Cream,Intravenous,Crescent Therapeutics,Antidiabetic,Y,2022-01-05,,DrugReferenceHub
DRG00192,93785641343,Lexapro,Escitalopram,Lexapro,50,mcg,Solution,Intravenous,Crescent Therapeutics,Gastrointestinal,Y,2024-09-23,,DrugReferenceHub
DRG00193,51057281520,Singulair,Montelukast,Singulair,20,mcg,Solution,Intravenous,Evergreen Labs,Gastrointestinal,Y,2024-09-07,,DrugReferenceHub
DRG00194,22109843357,Cymbalta,Duloxetine,Cymbalta,50,units/mL,Tablet,Intravenous,Meridian Pharma,Respiratory,Y,2022-10-08,,DrugReferenceHub
DRG00195,18987102928,Plavix,Clopidogrel,Plavix,5,units/mL,Injection,Inhalation,Redwood Pharma,Neurologic,Y,2024-12-17,,DrugReferenceHub
DRG00196,47220155350,Protonix,Pantoprazole,Protonix,10,mg/mL,Tablet,Inhalation,Atlas Medications,Antibiotic,Y,2022-09-14,,DrugReferenceHub
DRG00197,66887309527,Microzide,Hydrochlorothiazide,Microzide,25,mg/mL,Capsule,Topical,Summit Therapeutics,Lipid Lowering,Y,2022-11-26,,DrugReferenceHub
DRG00198,13608623051,Eliquis,Apixaban,Eliquis,50,mcg,Capsule,Transdermal,Evergreen Labs,Antidiabetic,N,2025-04-02,2026-09-27,DrugReferenceHub
DRG00199,99309147368,Jardiance,Empagliflozin,Jardiance,20,units/mL,Patch,Intravenous,Summit Therapeutics,Antihypertensive,N,2025-12-02,2027-01-20,DrugReferenceHub
DRG00200,50593972260,Januvia,Sitagliptin,Januvia,500,units/mL,Suspension,Oral,Evergreen Labs,Endocrine,N,2023-01-23,2024-02-11,DrugReferenceHub
DRG00201,92294919275,Lantus,Insulin Glargine,Lantus,500,mg/mL,Inhaler,Topical,Northstar Pharma,Antidepressant,Y,2025-09-08,,DrugReferenceHub
DRG00202,69347757174,Humalog,Insulin Lispro,Humalog,500,mg,Suspension,Topical,BlueRiver Pharmaceuticals,Gastrointestinal,N,2025-08-28,2026-08-19,DrugReferenceHub
DRG00203,68749757957,Prozac,Fluoxetine,Prozac,25,mg,Capsule,Intravenous,Redwood Pharma,Respiratory,N,2025-01-29,2026-07-15,DrugReferenceHub
DRG00204,40943424631,Wellbutrin,Bupropion,Wellbutrin,1000,mcg,Tablet,Subcutaneous,Atlas Medications,Neurologic,Y,2022-07-24,,DrugReferenceHub
DRG00205,55655209298,Coreg,Carvedilol,Coreg,5,mg,Cream,Transdermal,Evergreen Labs,Gastrointestinal,Y,2023-03-14,,DrugReferenceHub
DRG00206,99070622849,Lopressor,Metoprolol,Lopressor,1000,mcg,Solution,Oral,Redwood Pharma,Gastrointestinal,Y,2024-09-17,,DrugReferenceHub
DRG00207,56758128355,Lasix,Furosemide,Lasix,1000,mcg,Cream,Subcutaneous,Crescent Therapeutics,Anticoagulant,Y,2025-12-31,,DrugReferenceHub
DRG00208,38649367251,Aldactone,Spironolactone,Aldactone,10,units/mL,Injection,Topical,Pioneer Medical,Antidepressant,Y,2025-04-05,,DrugReferenceHub
DRG00209,26331939675,Ventolin,Albuterol,Ventolin,10,units/mL,Solution,Inhalation,Meridian Pharma,Antidiabetic,Y,2023-09-07,,DrugReferenceHub
DRG00210,54472137420,Vibramycin,Doxycycline,Vibramycin,20,mg,Capsule,Inhalation,Evergreen Labs,Gastrointestinal,Y,2022-12-10,,DrugReferenceHub
DRG00211,33349215114,Ozempic,Semaglutide,Ozempic,50,mg,Solution,Topical,Northstar Pharma,Gastrointestinal,Y,2025-11-05,,DrugReferenceHub
DRG00212,29308802360,Glucophage,Metformin,Glucophage,250,units/mL,Tablet,Inhalation,Northstar Pharma,Antidepressant,N,2023-02-08,2024-08-11,DrugReferenceHub
DRG00213,17445348253,Lipitor,Atorvastatin,Lipitor,50,units/mL,Capsule,Subcutaneous,Meridian Pharma,Antidepressant,Y,2023-05-16,,DrugReferenceHub
DRG00214,91497433316,Prinivil,Lisinopril,Prinivil,250,units/mL,Capsule,Subcutaneous,Summit Therapeutics,Antibiotic,Y,2025-11-11,,DrugReferenceHub
DRG00215,88687101335,Norvasc,Amlodipine,Norvasc,1000,mg,Tablet,Transdermal,Northstar Pharma,Antibiotic,Y,2024-04-01,,DrugReferenceHub
DRG00216,22187365237,Cozaar,Losartan,Cozaar,500,mg/mL,Tablet,Oral,Meridian Pharma,Anticoagulant,Y,2023-01-22,,DrugReferenceHub
DRG00217,38862821761,Prilosec,Omeprazole,Prilosec,1000,mg/mL,Cream,Inhalation,Redwood Pharma,Respiratory,Y,2022-01-08,,DrugReferenceHub
DRG00218,76841912411,Neurontin,Gabapentin,Neurontin,50,units/mL,Solution,Inhalation,Beacon Life Sciences,Respiratory,Y,2023-09-21,,DrugReferenceHub
DRG00219,58257248865,Synthroid,Levothyroxine,Synthroid,50,mg,Injection,Oral,Redwood Pharma,Endocrine,Y,2025-12-12,,DrugReferenceHub
DRG00220,77574673580,Zoloft,Sertraline,Zoloft,40,mg,Tablet,Topical,Meridian Pharma,Neurologic,N,2023-09-25,2025-09-26,DrugReferenceHub
DRG00221,37195598538,Crestor,Rosuvastatin,Crestor,20,units/mL,Capsule,Subcutaneous,Atlas Medications,Neurologic,Y,2024-10-19,,DrugReferenceHub
DRG00222,85528237583,Lexapro,Escitalopram,Lexapro,5,mg/mL,Capsule,Topical,Evergreen Labs,Respiratory,Y,2023-01-05,,DrugReferenceHub
DRG00223,74618978456,Singulair,Montelukast,Singulair,50,mcg,Suspension,Oral,Redwood Pharma,Antihypertensive,Y,2025-02-07,,DrugReferenceHub
DRG00224,12250369486,Cymbalta,Duloxetine,Cymbalta,10,mg,Cream,Oral,Crescent Therapeutics,Lipid Lowering,Y,2025-02-08,,DrugReferenceHub
DRG00225,84799902623,Plavix,Clopidogrel,Plavix,25,mg/mL,Capsule,Topical,Atlas Medications,Respiratory,Y,2024-06-08,,DrugReferenceHub
DRG00226,78211193483,UNKNOWN BRAND DRG00226,Pantoprazole,Protonix,50,mcg,Suspension,Transdermal,Evergreen Labs,Gastrointestinal,N,2025-02-02,2025-09-12,DrugReferenceHub
DRG00227,36001690590,Microzide,Hydrochlorothiazide,Microzide,250,mg/mL,Tablet,Intravenous,Atlas Medications,Endocrine,N,2024-04-26,2025-06-10,DrugReferenceHub
DRG00228,49498489686,Eliquis,Apixaban,Eliquis,500,mg/mL,Tablet,Inhalation,Crescent Therapeutics,Neurologic,Y,2023-07-08,,DrugReferenceHub
DRG00229,49994194179,Jardiance,Empagliflozin,Jardiance,50,units/mL,Inhaler,Topical,Evergreen Labs,Endocrine,Y,2024-12-14,,DrugReferenceHub
DRG00230,52087160927,Januvia,Sitagliptin,Januvia,40,mcg,Suspension,Oral,Redwood Pharma,Respiratory,Y,2025-05-05,,DrugReferenceHub
DRG00231,93474724778,Lantus,Insulin Glargine,Lantus,20,mcg,Capsule,Inhalation,Redwood Pharma,Antibiotic,Y,2025-05-14,,DrugReferenceHub
DRG00232,24959442831,Humalog,Insulin Lispro,Humalog,10,mg,Patch,Oral,Northstar Pharma,Lipid Lowering,N,2022-11-08,2025-04-05,DrugReferenceHub
DRG00233,36423490868,Prozac,Fluoxetine,Prozac,20,mg,Inhaler,Intravenous,BlueRiver Pharmaceuticals,Antidiabetic,Y,2024-09-16,,DrugReferenceHub
DRG00234,20858309589,Wellbutrin,Bupropion,Wellbutrin,50,units/mL,Suspension,Subcutaneous,Redwood Pharma,Lipid Lowering,Y,2022-01-07,,DrugReferenceHub
DRG00235,58670846921,Coreg,Carvedilol,Coreg,10,mcg,Patch,Topical,Crescent Therapeutics,Respiratory,Y,2024-04-16,,DrugReferenceHub
DRG00236,87424262238,Lopressor,Metoprolol,Lopressor,5,units/mL,Patch,Transdermal,Beacon Life Sciences,Endocrine,Y,2024-04-15,,DrugReferenceHub
DRG00237,37423653148,Lasix,Furosemide,Lasix,5,mg,Solution,Subcutaneous,Meridian Pharma,Neurologic,Y,2023-06-16,,DrugReferenceHub
DRG00238,89292409434,Aldactone,Spironolactone,Aldactone,250,units/mL,Capsule,Subcutaneous,BlueRiver Pharmaceuticals,Gastrointestinal,Y,2025-12-24,,DrugReferenceHub
DRG00239,54395112517,Ventolin,Albuterol,Ventolin,20,mg/mL,Cream,Topical,Evergreen Labs,Respiratory,N,2025-07-14,2028-01-30,DrugReferenceHub
DRG00240,37986793471,Vibramycin,Doxycycline,Vibramycin,100,mg/mL,Solution,Subcutaneous,Evergreen Labs,Respiratory,Y,2022-02-26,,DrugReferenceHub
DRG00241,83316704390,Ozempic,Semaglutide,Ozempic,10,mcg,Cream,Intravenous,Redwood Pharma,Anticoagulant,Y,2022-11-02,,DrugReferenceHub
DRG00242,32345951358,Glucophage,Metformin,Glucophage,20,mcg,Cream,Subcutaneous,Redwood Pharma,Neurologic,Y,2022-11-01,,DrugReferenceHub
DRG00243,77497673240,Lipitor,Atorvastatin,Lipitor,50,units/mL,Tablet,Oral,Pioneer Medical,Antidepressant,Y,2025-08-05,,DrugReferenceHub
DRG00244,24616800293,Prinivil,Lisinopril,Prinivil,25,mcg,Injection,Intravenous,Meridian Pharma,Anticoagulant,Y,2024-01-29,,DrugReferenceHub
DRG00245,13658312760,Norvasc,Amlodipine,Norvasc,50,units/mL,Cream,Subcutaneous,BlueRiver Pharmaceuticals,Respiratory,N,2024-12-01,2027-07-02,DrugReferenceHub
DRG00246,47515972719,Cozaar,Losartan,Cozaar,40,mg,Capsule,Topical,BlueRiver Pharmaceuticals,Endocrine,Y,2025-03-30,,DrugReferenceHub
DRG00247,81641422556,Prilosec,Omeprazole,Prilosec,100,mcg,Suspension,Subcutaneous,Redwood Pharma,Antihypertensive,Y,2025-01-27,,DrugReferenceHub
DRG00248,70149202243,Neurontin,Gabapentin,Neurontin,40,units/mL,Cream,Oral,BlueRiver Pharmaceuticals,Respiratory,Y,2022-05-11,,DrugReferenceHub
DRG00249,54528514686,Synthroid,Levothyroxine,Synthroid,20,mg,Patch,Subcutaneous,Pioneer Medical,Respiratory,N,2022-07-25,2023-09-29,DrugReferenceHub
DRG00250,26452654738,Zoloft,Sertraline,Zoloft,40,mcg,Tablet,Oral,Atlas Medications,Endocrine,Y,2023-08-01,,DrugReferenceHub
DRG00251,59136731178,Crestor,Rosuvastatin,Crestor,500,mcg,Capsule,Oral,Summit Therapeutics,Anticoagulant,Y,2023-05-10,,DrugReferenceHub
DRG00252,93234720318,Lexapro,Escitalopram,Lexapro,50,mg,Suspension,Oral,Summit Therapeutics,Antihypertensive,Y,2024-12-28,,DrugReferenceHub
DRG00253,64140385391,Singulair,Montelukast,Singulair,25,mcg,Suspension,Subcutaneous,BlueRiver Pharmaceuticals,Gastrointestinal,Y,2022-08-17,,DrugReferenceHub
DRG00254,45865729198,Cymbalta,Duloxetine,Cymbalta,20,mcg,Solution,Oral,Beacon Life Sciences,Antidepressant,Y,2023-06-28,,DrugReferenceHub
DRG00255,11107186150,Plavix,Clopidogrel,Plavix,250,mg,Capsule,Subcutaneous,Meridian Pharma,Endocrine,Y,2022-12-12,,DrugReferenceHub
DRG00256,27838113191,Protonix,Pantoprazole,Protonix,100,mg/mL,Inhaler,Inhalation,Beacon Life Sciences,Antibiotic,Y,2022-10-04,,DrugReferenceHub
DRG00257,24721435259,Microzide,Hydrochlorothiazide,Microzide,25,mg,Patch,Intravenous,Meridian Pharma,Respiratory,Y,2022-09-10,,DrugReferenceHub
DRG00258,22951612888,Eliquis,Apixaban,Eliquis,40,mcg,Tablet,Intravenous,Beacon Life Sciences,Antidepressant,Y,2022-10-13,,DrugReferenceHub
DRG00259,63764194169,Jardiance,Empagliflozin,Jardiance,40,mcg,Patch,Intravenous,Crescent Therapeutics,Respiratory,Y,2024-04-05,,DrugReferenceHub
DRG00260,65004145763,Januvia,Sitagliptin,Januvia,1000,mcg,Suspension,Oral,Beacon Life Sciences,Antidepressant,Y,2023-08-23,,DrugReferenceHub
DRG00261,10581609776,Lantus,Insulin Glargine,Lantus,100,mg,Inhaler,Transdermal,Redwood Pharma,Gastrointestinal,Y,2023-09-29,,DrugReferenceHub
DRG00262,78831371488,Humalog,Insulin Lispro,Humalog,100,mcg,Tablet,Intravenous,SUMMIT THERAPEUTICS,Neurologic,Y,2023-12-02,,DrugReferenceHub
DRG00263,33848103692,Prozac,Fluoxetine,Prozac,20,mg,Cream,Transdermal,Atlas Medications,Antibiotic,Y,2024-12-19,,DrugReferenceHub
DRG00264,65593261567,Wellbutrin,Bupropion,Wellbutrin,1000,units/mL,Suspension,Oral,Summit Therapeutics,Antihypertensive,Y,2025-06-13,,DrugReferenceHub
DRG00265,26851855697,Coreg,Carvedilol,Coreg,100,mg/mL,Tablet,Subcutaneous,Atlas Medications,Respiratory,Y,2024-02-09,,DrugReferenceHub
DRG00266,70003467749,Lopressor,Metoprolol,Lopressor,50,mcg,Solution,Intravenous,Crescent Therapeutics,Gastrointestinal,Y,2024-07-27,,DrugReferenceHub
DRG00267,29268903018,Lasix,Furosemide,Lasix,50,mg/mL,Capsule,Transdermal,Pioneer Medical,Neurologic,N,2024-12-15,2025-10-03,DrugReferenceHub
DRG00268,45654776470,Aldactone,Spironolactone,Aldactone,100,mg/mL,Cream,Intravenous,Evergreen Labs,Antibiotic,Y,2024-10-06,,DrugReferenceHub
DRG00269,90728447630,Ventolin,Albuterol,Ventolin,1000,mg,Capsule,Inhalation,Summit Therapeutics,Endocrine,N,2022-07-16,2023-06-23,DrugReferenceHub
DRG00270,54054126339,Vibramycin,Doxycycline,Vibramycin,20,units/mL,Capsule,Topical,Summit Therapeutics,Respiratory,Y,2025-12-08,,DrugReferenceHub
DRG00271,92608453526,Ozempic,Semaglutide,Ozempic,250,mcg,Solution,Oral,Redwood Pharma,Antibiotic,Y,2022-08-29,,DrugReferenceHub
DRG00272,41577281759,Glucophage,Metformin,Glucophage,1000,units/mL,Inhaler,Transdermal,Summit Therapeutics,Antidiabetic,Y,2023-08-26,,DrugReferenceHub
DRG00273,69166455424,Lipitor,Atorvastatin,Lipitor,10,units/mL,Capsule,Intravenous,Pioneer Medical,Gastrointestinal,Y,2024-08-12,,DrugReferenceHub
DRG00274,45395582883,Prinivil,Lisinopril,Prinivil,25,mg/mL,Inhaler,Oral,Northstar Pharma,Antidepressant,Y,2023-08-13,,DrugReferenceHub
DRG00275,71012800477,Norvasc,Amlodipine,Norvasc,100,units/mL,Patch,Oral,Crescent Therapeutics,Endocrine,N,2022-12-22,2023-10-06,DrugReferenceHub
DRG00276,40071538725,Cozaar,Losartan,Cozaar,10,mg,Inhaler,Inhalation,Atlas Medications,Endocrine,Y,2025-09-11,,DrugReferenceHub
DRG00277,74291518137,Prilosec,Omeprazole,Prilosec,25,mcg,Injection,Transdermal,Summit Therapeutics,Gastrointestinal,N,2022-04-15,2024-12-02,DrugReferenceHub
DRG00278,67141494586,Neurontin,Gabapentin,Neurontin,10,mg,Injection,Intravenous,Crescent Therapeutics,Lipid Lowering,Y,2022-12-26,,DrugReferenceHub
DRG00279,98953435785,Synthroid,Levothyroxine,Synthroid,20,mg/mL,Patch,Transdermal,BlueRiver Pharmaceuticals,Neurologic,Y,2025-12-22,,DrugReferenceHub
DRG00280,26911839819,Zoloft,Sertraline,Zoloft,100,mg,INHALER,Topical,Pioneer Medical,Respiratory,N,2024-12-02,2027-05-25,DrugReferenceHub
DRG00281,37104711512,Crestor,Rosuvastatin,Crestor,10,mcg,Suspension,Topical,Pioneer Medical,Antidiabetic,Y,2022-05-08,,DrugReferenceHub
DRG00282,22577849327,Lexapro,Escitalopram,Lexapro,100,mg/mL,Capsule,Oral,Atlas Medications,Anticoagulant,Y,2025-01-08,,DrugReferenceHub
DRG00283,41274493097,Singulair,Montelukast,Singulair,1000,mg,Suspension,Transdermal,Atlas Medications,Respiratory,Y,2025-11-18,,DrugReferenceHub
DRG00284,62995547857,Cymbalta,Duloxetine,Cymbalta,250,mg,Patch,Topical,Evergreen Labs,Endocrine,Y,2022-05-23,,DrugReferenceHub
DRG00285,36201328832,Plavix,Clopidogrel,Plavix,500,mcg,Suspension,Oral,Meridian Pharma,Respiratory,Y,2023-08-29,,DrugReferenceHub
DRG00286,73362282174,Protonix,Pantoprazole,Protonix,20,units/mL,Cream,Transdermal,Northstar Pharma,Respiratory,N,2023-11-16,2026-03-09,DrugReferenceHub
DRG00287,17132186749,Microzide,Hydrochlorothiazide,Microzide,100,mg,Suspension,Intravenous,Atlas Medications,Antibiotic,Y,2022-07-11,,DrugReferenceHub
DRG00288,16463469022,Eliquis,Apixaban,Eliquis,5,mg/mL,Solution,Topical,Redwood Pharma,Gastrointestinal,Y,2022-10-21,,DrugReferenceHub
DRG00289,56146827375,Jardiance,Empagliflozin,Jardiance,25,units/mL,Tablet,Topical,Atlas Medications,Lipid Lowering,Y,2022-09-12,,DrugReferenceHub
DRG00290,61425622844,Januvia,Sitagliptin,Januvia,500,mcg,Solution,Topical,Crescent Therapeutics,Gastrointestinal,Y,2022-09-29,,DrugReferenceHub
DRG00291,86677200466,Lantus,Insulin Glargine,Lantus,500,units/mL,Inhaler,Topical,Atlas Medications,Antidiabetic,Y,2023-08-13,,DrugReferenceHub
DRG00292,94250599448,Humalog,Insulin Lispro,Humalog,25,mcg,Solution,Subcutaneous,Evergreen Labs,Antidepressant,Y,2023-11-10,,DrugReferenceHub
DRG00293,28631979336,Prozac,Fluoxetine,Prozac,50,mg/mL,Solution,Oral,Summit Therapeutics,Antidepressant,Y,2022-12-14,,DrugReferenceHub
DRG00294,17813492685,Wellbutrin,Bupropion,Wellbutrin,10,units/mL,Solution,Subcutaneous,Meridian Pharma,Antidiabetic,Y,2023-02-28,,DrugReferenceHub
DRG00295,90019313030,Coreg,Carvedilol,Coreg,100,units/mL,Solution,Intravenous,Evergreen Labs,Antidiabetic,Y,2022-10-09,,DrugReferenceHub
DRG00296,68485665817,Lopressor,Metoprolol,Lopressor,20,mg,Solution,Subcutaneous,Beacon Life Sciences,Antihypertensive,Y,2025-03-09,,DrugReferenceHub
DRG00297,23338670584,Lasix,Furosemide,Lasix,250,mg,Suspension,Transdermal,Evergreen Labs,Antihypertensive,Y,2022-11-06,,DrugReferenceHub
DRG00298,73548373375,Aldactone,Spironolactone,Aldactone,100,mg,Patch,Intravenous,Beacon Life Sciences,Respiratory,Y,2025-08-19,,DrugReferenceHub
DRG00299,56889248717,Ventolin,Albuterol,Ventolin,40,mg/mL,Solution,Intravenous,Atlas Medications,Endocrine,Y,2024-02-27,,DrugReferenceHub
DRG00300,17127788461,Vibramycin,Doxycycline,Vibramycin,40,mg/mL,Injection,Inhalation,Beacon Life Sciences,Antibiotic,Y,2025-03-19,,DrugReferenceHub
DRG00301,92515101438,Ozempic,Semaglutide,Ozempic,20,mg,Patch,Intravenous,Meridian Pharma,Respiratory,Y,2024-07-19,,DrugReferenceHub
DRG00302,94487791738,Glucophage,Metformin,Glucophage,250,units/mL,Suspension,Inhalation,BlueRiver Pharmaceuticals,Anticoagulant,Y,2023-01-24,,DrugReferenceHub
DRG00303,70221820796,Lipitor,Atorvastatin,Lipitor,10,mg,Capsule,Transdermal,Redwood Pharma,Lipid Lowering,Y,2024-05-29,,DrugReferenceHub
DRG00304,78632194752,Prinivil,Lisinopril,Prinivil,50,mg,Cream,Intravenous,Atlas Medications,Antihypertensive,N,2023-02-05,2025-03-24,DrugReferenceHub
DRG00305,48827576665,Norvasc,Amlodipine,Norvasc,25,mcg,Injection,Oral,Beacon Life Sciences,Anticoagulant,Y,2022-06-23,,DrugReferenceHub
DRG00306,96269476252,Cozaar,Losartan,Cozaar,10,mg,Capsule,Topical,BlueRiver Pharmaceuticals,Antidepressant,Y,2023-01-08,,DrugReferenceHub
DRG00307,94403244960,Prilosec,Omeprazole,Prilosec,50,units/mL,Patch,Oral,Redwood Pharma,Antibiotic,Y,2023-02-07,,DrugReferenceHub
DRG00308,55577596931,Neurontin,Gabapentin,Neurontin,500,mg/mL,Tablet,Transdermal,Evergreen Labs,Antidiabetic,Y,2022-07-17,,DrugReferenceHub
DRG00309,34027958339,Synthroid,Levothyroxine,Synthroid,5,mcg,Suspension,Topical,Atlas Medications,Lipid Lowering,Y,2022-02-04,,DrugReferenceHub
DRG00310,42368965233,Zoloft,Sertraline,Zoloft,10,mcg,Capsule,Inhalation,Pioneer Medical,Neurologic,Y,2025-10-11,,DrugReferenceHub
DRG00311,56529194411,Crestor,Rosuvastatin,Crestor,50,mg,Injection,Transdermal,BlueRiver Pharmaceuticals,Anticoagulant,Y,2024-01-21,,DrugReferenceHub
DRG00312,98611238535,Lexapro,Escitalopram,Lexapro,50,mcg,Cream,Transdermal,Meridian Pharma,Antihypertensive,N,2023-08-11,2024-11-14,DrugReferenceHub
DRG00313,19952451798,Singulair,Montelukast,Singulair,10,units/mL,Cream,Intravenous,Summit Therapeutics,Anticoagulant,N,2025-09-21,2027-04-14,DrugReferenceHub
DRG00314,14627431869,Cymbalta,Duloxetine,Cymbalta,5,mcg,Injection,Oral,Evergreen Labs,Respiratory,Y,2022-11-25,,DrugReferenceHub
DRG00315,32305341731,Plavix,Clopidogrel,Plavix,10,units/mL,Capsule,Transdermal,Atlas Medications,Antihypertensive,Y,2023-08-12,,DrugReferenceHub
DRG00316,79563995586,Protonix,Pantoprazole,Protonix,1000,mcg,Inhaler,Topical,Crescent Therapeutics,Antidiabetic,Y,2025-05-22,,DrugReferenceHub
DRG00317,78234779957,Microzide,Hydrochlorothiazide,Microzide,50,mg/mL,Injection,Topical,BlueRiver Pharmaceuticals,Antihypertensive,Y,2024-07-13,,DrugReferenceHub
DRG00318,73727371375,Eliquis,Apixaban,Eliquis,1000,mg/mL,Injection,Subcutaneous,Atlas Medications,Antidepressant,Y,2023-08-07,,DrugReferenceHub
DRG00319,37017591044,Jardiance,Empagliflozin,Jardiance,50,mcg,Inhaler,Oral,BlueRiver Pharmaceuticals,Respiratory,Y,2023-01-10,,DrugReferenceHub
DRG00320,94714373929,Januvia,Sitagliptin,Januvia,10,units/mL,Cream,Topical,Atlas Medications,Endocrine,Y,2022-02-21,,DrugReferenceHub
DRG00321,98037118876,Lantus,Insulin Glargine,Lantus,100,mcg,Capsule,Transdermal,Meridian Pharma,Antidepressant,Y,2022-05-05,,DrugReferenceHub
DRG00322,46113156038,Humalog,Insulin Lispro,Humalog,40,mg/mL,Tablet,Subcutaneous,Summit Therapeutics,Lipid Lowering,Y,2022-08-25,,DrugReferenceHub
